Sl.No,Block,Well No,Village,Latitude,Longitude
1,Avinashi,W111105077163001,Avinashi,11.1847,77.275
2,Avinashi,W111228077113001,Karavalur,11.20778,77.19167
3,Avinashi,W111440077150001,Sevur,11.24444,77.25
4,Avinashi,W111445077124501,Vettuvampalayam,11.2458,77.2125
5,Avinashi,W111722077100901,Alathur,11.2894,77.1692
6,Avinashi,W111745077075501,Pongalur,11.2958,77.1319
7,Avinashi,W111824077164401,Thathanur,11.3067,77.2789
8,Dharapuram,W103924077280401,Chelampalayam,10.6567,77.4678
9,Dharapuram,W104153077232601,Ponnapuram,10.6981,77.3906
10,Dharapuram,W104400077320001,Tharapuram South,10.7333,77.5333
11,Dharapuram,W104420077314501,Dharapuram South,10.73889,77.52917
12,Dharapuram,W104420077314502,Tharapuram South,10.7389,77.5292
13,Dharapuram,W104550077345901,Kolathupalayam,10.7639,77.5831
14,Dharapuram,W104550077354001,Alampalaiyam,10.7639,77.5944
15,Dharapuram,W104605077391701,Vellavavipudur,10.7681,77.6547
16,Gudimangalam,W104045077163001,Kottamangalam,10.67917,77.275
17,Gudimangalam,W104047077161901,Kottamangalam,10.6797,77.2719
18,Gudimangalam,W104530077161501,Periyapatti,10.7583,77.2708
19,Kangayam,W105930077333001,Kangeyam,10.9917,77.5583
20,Kangayam,W110010077334501,Kangeyam,11.0028,77.5625
21,Kangayam,W110151077320501,Sivanmalai,11.0308,77.5347
22,Kangayam,W110350077293201,Padiyur,11.0639,77.4922
23,Kangayam,W110402077420801,Kuttapalayam,11.0672,77.7022
24,Kundadam,W104816077332501,Shangarandampalayam,10.8044,77.5569
25,Kundadam,W105330077314501,Uthiyur,10.8917,77.5292
26,Madathukulam,W102930077210001,Komaralingam -W,10.4917,77.35
27,Madathukulam,W103630077230001,Kaniyur,10.6083,77.3833
28,Madathukulam,W103725077223001,Thungavi 1-2,10.6236,77.375
29,Mulanur,W104204077442201,Kilangundal,10.7011,77.7394
30,Mulanur,W104730077423001,Moolanur,10.7917,77.7083
31,Mulanur,W105222077455301,Senapathipalayam,10.8728,77.7647
32,Mulanur,W112357079191505,Komarapalaya,10.6431,77.7342
33,Palladam,W105830077160001,Vadugapalayam,10.975,77.26667
34,Palladam,W105945077164001,Palladam,10.9958,77.2778
35,Palladam,W110100077110501,Kodangipalayam,11.0167,77.1847
36,Palladam,W110148077170001,Naranapuram,11.03,77.2833
37,Palladam,W110244077193801,Karaipudur,11.0456,77.3272
38,Palladam,W110408077210701,Veerapandi,11.0689,77.3519
39,Pongalur,W105455077154001,Thethanur,10.9153,77.2611
40,Pongalur,W110450077271001,Nachipalayam,11.0806,77.4528
41,Pongalur,W110500077264501,Nachipalayam,11.0833,77.4458
42,Tiruppur,W110329077231501,Muthanampalayam,11.0581,77.3875
43,Tiruppur,W110411077230401,Muthanampalayam,11.0697,77.3844
44,Tiruppur,W110517077203501,Tiruppur,11.0881,77.3431
45,Tiruppur,W110605077211501,Tiruppur,11.1014,77.3542
46,Tiruppur,W110633077260801,Mudalipalayam,11.1092,77.4356
47,Tiruppur,W110642077200301,Tiruppur,11.1117,77.3342
48,Tiruppur,W110643077200401,Tiruppur,11.1119,77.3344
49,Tiruppur,W110731077244801,Mudalipalayam,11.1253,77.4133
50,Tiruppur,W110744077170001,Kaniyampoondi,11.1289,77.2833
51,Tiruppur,W110841077183401,Velamapalayam,11.1447,77.3094
52,Udumalpet,W103025077121001,Jallipatti,10.50694,77.20278
53,Udumalpet,W103132077130501,Pallapalayam,10.5256,77.2181
54,Udumalpet,W103500077144001,Kanakampalayam,10.5833,77.2444
55,Udumalpet,W103500077145001,Kanakampalayam,10.5833,77.2472
56,Uttukkuli,W110729077275201,Anaipalayam,11.1247,77.4644
57,Uttukkuli,W111028077265001,Punjai Uootthukkuli,11.1744,77.4472
58,Uttukkuli,W111200077253001,Chengappalli,11.2,77.425
59,Uttukkuli,W111327077250701,Virumandampalayam,11.2242,77.4186
60,Uttukkuli,W111610077245001,Kunnathur,11.2694,77.4139
61,Vellakoil,W105640077425501,Vellakoil,10.9444,77.7153
62,Vellakoil,W105731077432101,Senapathipalayam,10.9586,77.7225
63,Vellakoil,W110230077440001,Velampalayam,11.0417,77.7333
64,Vellakoil,W110300077450001,C.Muttur,11.05,77.75
